s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,representation,representation_semi,kinetic,map,map2,spatial_dimension,spatial_dimension2,pl,si,va,te,co,or,sh,reflection,po,li,ar,notes
2,Giorgio de Chirico,The Uncertainty of the Poet ,surrealism,Tate,Italy,FALSE,painting,"painting, oil on canvas",106 x 94 cm,1913,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,3,0,0,4,3,FALSE,0,0,5,"distorted perspective, shadow, signification of objects, emptiness. relative sizes"
3,Giovanni Anselmo,Direction,arte povera,Tate,Italy,FALSE,sculpture,"sculpture, fabric, glass & metal",24 x 420 x 335 cm,1967,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,3,1,3,0,3,2,FALSE,0,0,5,"hard to understand the viewpoint, sense of force & what is acting on the material"
4,Milton Avery,Yellow Sky ,modernism,Tate,America,FALSE,painting,"painting, oil on canvas",156 x 184 cm,1958,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,2,4,4,2,4,FALSE,0,0,5,"flatish, textured shapes & specific colors-linked to distortion of landscape. Early Moderism, little less about uncertainty, more to do w/ ambiguity"
5,Gillian Avery,Distillation,abstraction,Tate,UK,FALSE,painting,"painting, oil, household paint on hardboard",213 x 152 cm,1957,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,3,1,2,0,2,4,FALSE,0,0,5,"shapes, layers, paint handlng/texture, orientation/placement/decreasing size descending down to left bottom of canvas; abstract, ambiguous"
6,Joseph (Jef) Banc,Pair-Bearing Matrix ,abstraction,Tate,France,FALSE,painting,"painting, mixed media on canvas",73 x 60 cm,1956,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,1,4,1,0,4,FALSE,0,0,5,"ambiguity through abstraction, odd shape, v textural"
7,Fiona Banner,Break Point ,conceptual,Tate,UK,TRUE,painting,"painting, marker pen, acrylic on canvas",274 x 427 x 6 cm,1998,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,3,1,2,0,0,0,FALSE,0,5,0,"ambiguity to do with reading text: placement of rows & of letters placed closer tog. further down, overlapping, textural handmade quality. Uncertainty occurs where the letters run over each other and the lines get denser the further down you go, to a point of being unable to read the words"
8,Thomas Barker of Bath,The Woodman and his Dog in a Storm ,representation,Tate,UK,FALSE,painting,"painting, oil on canvas",236 x 149 cm,1787,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,4,1,0,4,1,FALSE,0,0,5,"dark values, both pairs of eyes fixed on object out of canvas"
9,Uta Barth,Field #20 ,conceptual,Tate,Germany,FALSE,photography,"photo, digital print w/ acrylic on canvas",346 x 416 cm,1997,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,1,5,0,0,1,FALSE,0,0,5,"v pixelated, very, very large photo; texture:pixelation. Uncertainty in the lack of clarity of the image, the photo is huge and the out of focus pixellation is dominant. The street lamps are eaten into because of the pixellation, overall it has a fairly consistent value (not starkly b & w), value & pixellation changes the sense of space. If this was a crisp, focused photo, it would feel very different"
10,Willi Baumeister,Untitled (Suspended Lines I) ,abstraction,Tate,Germany,FALSE,print,"print, lithograph on paper",26 x 21 cm,1953,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,1,1,0,4,3,FALSE,0,5,0,"lines don't meet, orientation of lines creates spatial effect, overlapping, space inbetween, diff weights of line, hard to work out what the lines describe"
11,Larry Bell,Untitled ,postminimal,Tate,United States,FALSE,installation,"installation,sculpture, coated glass",188 x 549 x 244 cm,1971,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,5,3,0,0,1,TRUE,0,0,5,"coating on glass greater at base, fragility of material, reflective properties, change in value on glass makes surface change from presence to almost not there. Value change on the glass from bottom to top changes the surface of the glass and makes it seem to somewhat float. If the glass didn't have this change in value, there would be much less a sense of uncertainty"
